No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team
14,Gary Harris,SG,6-4,210,"September 14, 1994",us US,8,Michigan State,ORL
7,Kevon Harris,SG,6-5,216,"June 24, 1997",us US,R,Stephen F. Austin,ORL
2,Caleb Houstan,SF,6-8,205,"January 9, 2003",ca CA,R,Michigan,ORL
1,Jonathan Isaac,PF,6-10,230,"October 3, 1997",us US,3,Florida State,ORL
3,Chuma Okeke,SF,6-6,229,"August 18, 1998",us US,2,Auburn,ORL
31,Terrence Ross,SG,6-6,206,"February 5, 1991",us US,10,Washington,ORL
25,Admiral Schofield,PF,6-5,241,"March 30, 1997",gb GB,2,Tennessee,ORL
0,Jay Scrubb,SG,6-5,220,"September 1, 2000",us US,2,John A. Logan College,ORL
4,Jalen Suggs,SG,6-5,205,"June 3, 2001",us US,1,Gonzaga,ORL
22,Franz Wagner,SF,6-10,225,"August 27, 2001",de DE,1,Michigan,ORL
21,Moritz Wagner,C,6-11,245,"April 26, 1997",de DE,4,Michigan,ORL
55,Julian Champagnie,SF,6-8,220,"June 29, 2001",us US,R,St. John's,PHI
14,Dewayne Dedmon,C,7-0,245,"August 12, 1989",us US,9,USC,PHI
21,Joel Embiid,C,7-0,280,"March 16, 1994",cm CM,6,Kansas,PHI
35,Michael Foster Jr.,PF,6-8,250,"January 16, 2003",us US,R,,PHI
1,James Harden,PG,6-5,220,"August 26, 1989",us US,13,Arizona State,PHI
5,Montrezl Harrell,C,6-7,240,"January 26, 1994",us US,7,Louisville,PHI
12,Tobias Harris,SF,6-8,226,"July 15, 1992",us US,11,Tennessee,PHI
25,Danuel House Jr.,SF,6-6,220,"June 7, 1993",us US,6,Texas A&M,PHI
23,Louis King,PF,6-7,205,"April 6, 1999",us US,3,Oregon,PHI
30,Furkan Korkmaz,SG,6-7,202,"July 24, 1997",tr TR,5,,PHI
9,Saben Lee,PG,6-2,183,"June 23, 1999",us US,2,Vanderbilt,PHI
0,Tyrese Maxey,SG,6-2,200,"November 4, 2000",us US,2,Kentucky,PHI
9,Mac McClung,SG,6-2,185,"January 6, 1999",us US,1,"Georgetown, Texas Tech",PHI
7,Jalen McDaniels,SF,6-9,205,"January 31, 1998",us US,3,San Diego State,PHI
8,De'Anthony Melton,SG,6-2,200,"May 28, 1998",us US,4,USC,PHI
18,Shake Milton,SG,6-5,205,"September 26, 1996",us US,4,SMU,PHI
20,Georges Niang,PF,6-7,230,"June 17, 1993",us US,6,Iowa State,PHI
44,Paul Reed,C,6-9,210,"June 14, 1999",us US,2,DePaul,PHI
11,Jaden Springer,SG,6-4,204,"September 25, 2002",us US,1,Tennessee,PHI
22,Matisse Thybulle,SF,6-5,201,"March 4, 1997",us US,3,Washington,PHI
17,P.J. Tucker,PF,6-5,245,"May 5, 1985",us US,11,Texas,PHI
22,Deandre Ayton,C,7-0,250,"July 23, 1998",bs BS,4,Arizona,PHO
55,Darius Bazley,C,6-8,208,"June 12, 2000",us US,3,,PHO
18,Bismack Biyombo,C,6-8,255,"August 28, 1992",cd CD,11,,PHO
1,Devin Booker,SG,6-6,206,"October 30, 1996",us US,7,Kentucky,PHO
25,Mikal Bridges,SF,6-6,209,"August 30, 1996",us US,4,Villanova,PHO
0,Torrey Craig,PF,6-7,221,"December 19, 1990",us US,5,USC Upstate,PHO
35,Kevin Durant,PF,6-11,240,"September 29, 1988",us US,14,Texas,PHO
23,Cameron Johnson,PF,6-8,210,"March 3, 1996",us US,3,"Pitt, UNC",PHO
11,Jock Landale,C,6-11,256,"October 25, 1995",au AU,1,Saint Mary's,PHO
10,Damion Lee,SG,6-5,210,"October 21, 1992",us US,5,"Drexel, Louisville",PHO
38,Saben Lee,PG,6-2,183,"June 23, 1999",us US,2,Vanderbilt,PHO
2,Josh Okogie,SG,6-4,213,"September 1, 1998",ng NG,4,Georgia Tech,PHO
3,Chris Paul,PG,6-0,175,"May 6, 1985",us US,17,Wake Forest,PHO
15,Cameron Payne,PG,6-3,183,"August 8, 1994",us US,7,Murray State,PHO
8,Terrence Ross,SG,6-6,206,"February 5, 1991",us US,10,Washington,PHO
20,Dario Å ariÄ,PF,6-10,225,"April 8, 1994",hr HR,5,,PHO
14,Landry Shamet,SG,6-4,190,"March 13, 1997",us US,4,Wichita State,PHO
12,Ish Wainright,SF,6-6,250,"September 12, 1994",us US,1,Baylor,PHO
21,T.J. Warren,SF,6-8,220,"September 5, 1993",us US,7,NC State,PHO
4,Duane Washington Jr.,SG,6-3,210,"March 24, 2000",de DE,1,Ohio State,PHO
51,Ryan Arcidiacono,PG,6-3,195,"March 26, 1994",us US,5,Villanova,POR
4,Greg Brown III,PF,6-7,205,"September 1, 2001",us US,1,Texas,POR
21,John Butler,C,7-0,175,"December 4, 2002",us US,R,Florida State,POR
50,Chance Comanche,C,6-10,210,"April 14, 1996",us US,R,Arizona,POR
24,Drew Eubanks,C,6-9,245,"February 1, 1997",us US,4,Oregon State,POR
9,Jerami Grant,PF,6-7,210,"March 12, 1994",us US,8,Syracuse,POR
0,Shaquille Harrison,SG,6-4,190,"October 6, 1993",us US,5,Tulsa,POR
11,Josh Hart,SF,6-4,215,"March 6, 1995",us US,5,Villanova,POR
6,Keon Johnson,SG,6-5,186,"March 10, 2002",us US,1,Tennessee,POR
11,Kevin Knox,PF,6-7,215,"August 11, 1999",us US,4,Kentucky,POR
0,Damian Lillard,PG,6-2,195,"July 15, 1990",us US,10,Weber State,POR
10,Nassir Little,SF,6-5,220,"February 11, 2000",us US,3,UNC,POR
8,Skylar Mays,PG,6-4,205,"September 5, 1997",us US,2,LSU,POR
35,Justin Minaya,SF,6-5,210,"March 26, 1999",us US,R,,POR
27,Jusuf NurkiÄ,C,7-0,290,"August 23, 1994",ba BA,8,,POR
0,Gary Payton II,SG,6-2,190,"December 1, 1992",us US,6,Oregon State,POR
5,Cam Reddish,SF,6-8,218,"September 1, 1999",us US,3,Duke,POR
17,Shaedon Sharpe,SG,6-6,200,"May 30, 2003",ca CA,R,Kentucky,POR
1,Anfernee Simons,SG,6-3,181,"June 8, 1999",us US,4,,POR
4,Matisse Thybulle,SG,6-5,201,"March 4, 1997",us US,3,Washington,POR
34,Jabari Walker,SF,6-9,215,"July 30, 2002",us US,R,Colorado,POR
2,Trendon Watford,PF,6-9,240,"November 9, 2000",us US,1,LSU,POR
23,Jeenathan Williams,SG,6-5,205,"February 12, 1999",us US,R,Buffalo,POR
26,Justise Winslow,PF,6-6,222,"March 26, 1996",us US,7,Duke,POR
40,Harrison Barnes,PF,6-8,225,"May 30, 1992",us US,10,UNC,SAC
24,Deonte Burton,PF,6-4,240,"January 31, 1994",us US,2,"Marquette, Iowa State",SAC
3,Terence Davis,SG,6-4,201,"May 16, 1997",us US,3,Ole Miss,SAC
8,Matthew Dellavedova,PG,6-3,200,"September 8, 1990",au AU,8,Saint Mary's,SAC
35,PJ Dozier,SF,6-6,205,"October 25, 1996",us US,5,South Carolina,SAC
17,Kessler Edwards,SF,6-8,215,"August 9, 2000",us US,1,Pepperdine,SAC
23,Keon Ellis,SG,6-6,175,"January 8, 2000",us US,R,"Florida SouthWestern State College, Alabama",SAC
5,De'Aaron Fox,PG,6-3,185,"December 20, 1997",us US,5,Kentucky,SAC
22,Richaun Holmes,C,6-10,235,"October 15, 1993",us US,7,Bowling Green,SAC
9,Kevin Huerter,SG,6-7,190,"August 27, 1998",us US,4,Maryland,SAC
25,Alex Len,C,7-0,250,"June 16, 1993",ua UA,9,Maryland,SAC
41,Trey Lyles,PF,6-9,234,"November 5, 1995",ca CA,7,Kentucky,SAC
7,Chimezie Metu,PF,6-9,225,"March 22, 1997",us US,4,USC,SAC
15,Davion Mitchell,PG,6-2,205,"September 5, 1998",us US,1,"Auburn, Baylor",SAC
19,Chima Moneke,SF,6-6,222,"December 24, 1995",ng NG,R,"Northeast Community College, UC-Davis",SAC
0,Malik Monk,SG,6-3,200,"February 4, 1998",us US,5,Kentucky,SAC
13,Keegan Murray,SF,6-8,215,"August 19, 2000",us US,R,Iowa,SAC
30,KZ Okpala,PF,6-8,215,"April 28, 1999",us US,3,Stanford,SAC
88,Neemias Queta,C,7-0,245,"July 13, 1999",pt PT,1,Utah State University,SAC
10,Domantas Sabonis,C,6-10,240,"May 3, 1996",us US,6,Gonzaga,SAC
26,Dominick Barlow,PF,6-9,221,"May 26, 2003",us US,R,,SAS
28,Charles Bassey,C,6-10,235,"October 28, 2000",ng NG,1,Western Kentucky,SAS
31,Keita Bates-Diop,PF,6-8,229,"January 23, 1996",us US,4,Ohio State,SAS
22,Malaki Branham,SG,6-4,180,"May 12, 2003",us US,R,Ohio State,SAS
30,Julian Champagnie,SF,6-8,220,"June 29, 2001",us US,R,St. John's,SAS
23,Zach Collins,C,6-11,250,"November 19, 1997",us US,4,Gonzaga,SAS
41,Gorgui Dieng,C,6-10,252,"January 18, 1990",sn SN,9,Louisville,SAS
4,Devonte' Graham,PG,6-1,195,"February 22, 1995",us US,4,Kansas,SAS
55,Jordan Hall,SF,6-7,215,"January 14, 2002",us US,R,Saint Joseph's,SAS
19,Alize Johnson,PF,6-7,212,"April 22, 1996",us US,4,"Frank Phillips College, Missouri State",SAS
3,Keldon Johnson,SF,6-5,220,"October 11, 1999",us US,3,Kentucky,SAS
34,Stanley Johnson,SF,6-6,242,"May 29, 1996",us US,7,Arizona,SAS
33,Tre Jones,PG,6-1,185,"January 8, 2000",us US,2,Duke,SAS
35,Romeo Langford,SG,6-5,216,"October 25, 1999",us US,3,Indiana,SAS
54,Sandro Mamukelashvili,C,6-11,240,"May 23, 1999",us US,1,Seton Hall,SAS
17,Doug McDermott,SF,6-6,225,"January 3, 1992",us US,8,Creighton,SAS
25,Jakob Poeltl,C,7-0,245,"October 15, 1995",at AT,6,Utah,SAS
11,Joshua Primo,SG,6-6,190,"December 24, 2002",ca CA,1,Alabama,SAS
7,Josh Richardson,SG,6-5,200,"September 15, 1993",us US,7,Tennessee,SAS
18,Isaiah Roby,PF,6-8,230,"February 3, 1998",us US,3,Nebraska,SAS
10,Jeremy Sochan,PF,6-8,230,"May 20, 2003",us US,R,Baylor,SAS
24,Devin Vassell,SG,6-5,200,"August 23, 2000",us US,2,Florida State,SAS
14,Blake Wesley,SG,6-5,185,"March 16, 2003",us US,R,Notre Dame,SAS
5,Precious Achiuwa,C,6-8,225,"September 19, 1999",ng NG,2,Memphis,TOR
3,OG Anunoby,SF,6-7,232,"July 17, 1997",gb GB,5,Indiana,TOR
45,Dalano Banton,PG,6-9,204,"November 7, 1999",ca CA,1,Nebraska,TOR
4,Scottie Barnes,SF,6-7,227,"August 1, 2001",us US,1,Florida State,TOR
1,Will Barton,SG,6-5,181,"January 6, 1991",us US,10,Memphis,TOR
24,Khem Birch,C,6-9,233,"September 28, 1992",ca CA,5,"Pitt, UNLV",TOR
25,Chris Boucher,PF,6-9,200,"January 11, 1993",lc LC,5,"New Mexico Junior College, Northwest College, Oregon",TOR
11,Justin Champagnie,SF,6-6,200,"June 29, 2001",us US,1,Pitt,TOR
20,Jeff Dowtin,PG,6-3,185,"May 10, 1997",us US,1,Rhode Island,TOR
22,Malachi Flynn,PG,6-1,175,"May 10, 1998",us US,2,"Washington State, San Diego State",TOR
8,Ron Harper Jr.,PF,6-6,245,"April 12, 2000",us US,R,Rutgers University,TOR
41,Juancho HernangÃ³mez,PF,6-9,214,"September 28, 1995",es ES,6,,TOR
35,Christian Koloko,C,7-1,230,"June 20, 2000",cm CM,R,Arizona,TOR
19,Jakob Poeltl,C,7-0,245,"October 15, 1995",at AT,6,Utah,TOR
32,Otto Porter Jr.,SF,6-8,198,"June 3, 1993",us US,9,Georgetown,TOR
43,Pascal Siakam,PF,6-8,230,"April 2, 1994",cm CM,6,New Mexico State,TOR
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us US,4,Duke,TOR
23,Fred VanVleet,PG,6-0,197,"February 25, 1994",us US,6,Wichita State,TOR
11,Joe Wieskamp,SF,6-6,212,"August 23, 1999",us US,1,Iowa,TOR
21,Thaddeus Young,PF,6-8,235,"June 21, 1988",us US,15,Georgia Tech,TOR
30,Ochai Agbaji,SG,6-5,215,"April 20, 2000",us US,R,Kansas,UTA
6,Nickeil Alexander-Walker,SG,6-5,205,"September 2, 1998",ca CA,3,Virginia Tech,UTA
20,Udoka Azubuike,C,6-10,280,"September 17, 1999",ng NG,2,Kansas,UTA
5,Malik Beasley,SG,6-4,187,"November 26, 1996",us US,6,Florida State,UTA
10,Leandro Bolmaro,SF,6-6,200,"September 11, 2000",ar AR,1,,UTA
55,Jarrell Brantley,PF,6-5,250,"June 7, 1996",us US,2,College of Charleston,UTA
0,Jordan Clarkson,SG,6-3,194,"June 7, 1992",us US,8,"Tulsa, Missouri",UTA
11,Mike Conley,PG,6-0,175,"October 11, 1987",us US,15,Ohio State,UTA
11,Kris Dunn,PG,6-3,205,"March 18, 1994",us US,6,Providence,UTA
16,Simone Fontecchio,SF,6-8,209,"December 9, 1995",it IT,R,,UTA
22,Rudy Gay,PF,6-8,250,"August 17, 1986",us US,16,UConn,UTA
0,Talen Horton-Tucker,SG,6-4,234,"November 25, 2000",us US,3,Iowa State,UTA
3,Frank Jackson,PG,6-3,205,"May 4, 1998",us US,4,Duke,UTA
15,Damian Jones,C,6-11,245,"June 30, 1995",us US,6,Vanderbilt,UTA
33,Johnny Juzang,SG,6-7,215,"March 17, 2001",us US,R,"Kentucky, UCLA",UTA
24,Walker Kessler,C,7-0,245,"July 26, 2001",us US,R,"UNC, Auburn",UTA
23,Lauri Markkanen,PF,7-0,240,"May 22, 1997",fi FI,5,Arizona,UTA
41,Kelly Olynyk,C,6-11,240,"April 19, 1991",ca CA,9,Gonzaga,UTA
25,Micah Potter,PF,6-10,248,"April 6, 1998",us US,1,"Ohio State, Wisconsin",UTA
19,Luka Å amaniÄ,PF,6-10,227,"January 9, 2000",hr HR,2,,UTA
2,Collin Sexton,PG,6-3,190,"January 4, 1999",us US,4,Alabama,UTA
95,Juan Toscano-Anderson,SF,6-6,209,"April 10, 1993",us US,3,Marquette,UTA
8,Jarred Vanderbilt,PF,6-8,214,"April 3, 1999",us US,4,Kentucky,UTA
9,Deni Avdija,SF,6-9,210,"January 3, 2001",il IL,2,,WAS
5,Will Barton,SG,6-5,181,"January 6, 1991",us US,10,Memphis,WAS
3,Bradley Beal,SG,6-4,207,"June 28, 1993",us US,10,Florida,WAS
4,Jamaree Bouyea,PG,6-2,180,"June 27, 1999",us US,R,San Francisco,WAS
13,Vernon Carey Jr.,C,6-9,270,"February 25, 2001",us US,2,Duke,WAS
12,Xavier Cooks,PF,6-8,183,"August 19, 1995",au AU,R,Winthrop University,WAS
1,Johnny Davis,SG,6-5,196,"February 27, 2002",us US,R,Wisconsin,WAS
15,Devon Dotson,PG,6-2,185,"August 2, 1999",us US,2,Kansas,WAS
21,Daniel Gafford,C,6-10,234,"October 1, 1998",us US,3,Arkansas,WAS
67,Taj Gibson,C,6-9,232,"June 24, 1985",us US,13,USC,WAS
16,Anthony Gill,PF,6-7,230,"October 17, 1992",us US,2,"South Carolina, Virginia",WAS
7,Jordan Goodwin,PG,6-3,200,"October 23, 1998",us US,1,Saint Louis,WAS
8,Rui Hachimura,PF,6-8,230,"February 8, 1998",jp JP,3,Gonzaga,WAS
34,Jay Huff,C,7-1,240,"August 25, 1998",us US,1,Virginia,WAS
29,Quenton Jackson,PG,6-5,175,"September 15, 1998",us US,R,Texas A&M,WAS
24,Corey Kispert,SF,6-7,220,"March 3, 1999",us US,1,Gonzaga,WAS
33,Kyle Kuzma,PF,6-9,221,"July 24, 1995",us US,5,Utah,WAS
22,Monte Morris,PG,6-2,183,"June 27, 1995",us US,5,Iowa State,WAS
20,Kendrick Nunn,SG,6-2,190,"August 3, 1995",us US,2,"Illinois, Oakland",WAS
6,Kristaps PorziÅÄ£is,C,7-2,240,"August 2, 1995",lv LV,6,,WAS
20,Jordan Schakel,SF,6-6,200,"June 13, 1998",us US,1,San Diego State,WAS
14,Isaiah Todd,PF,6-10,220,"October 17, 2001",us US,1,,WAS
55,Delon Wright,PG,6-5,185,"April 26, 1992",us US,7,Utah,WAS
1,LaMelo Ball,PG,6-7,180,"August 22, 2001",us US,2,,CHO
2,James Bouknight,SG,6-5,190,"September 18, 2000",us US,1,UConn,CHO
20,Gordon Hayward,SF,6-7,225,"March 23, 1990",us US,12,Butler,CHO
23,Kai Jones,C,6-11,218,"January 19, 2001",bs BS,1,Texas,CHO
9,ThÃ©o Maledon,PG,6-4,175,"June 12, 2001",fr FR,2,,CHO
11,Cody Martin,SF,6-5,205,"September 28, 1995",us US,3,"NC State, Nevada",CHO
6,Jalen McDaniels,SF,6-9,205,"January 31, 1998",us US,3,San Diego State,CHO
7,Bryce McGowens,SG,6-7,179,"November 8, 2002",us US,R,Nebraska,CHO
10,Svi Mykhailiuk,SF,6-7,205,"June 10, 1997",ua UA,4,Kansas,CHO
12,Kelly Oubre Jr.,SF,6-8,203,"December 9, 1995",us US,7,Kansas,CHO
24,Mason Plumlee,C,6-10,254,"March 5, 1990",us US,9,Duke,CHO
4,Nick Richards,C,7-0,245,"November 29, 1997",jm JM,2,Kentucky,CHO
3,Terry Rozier,SG,6-1,190,"March 17, 1994",us US,7,Louisville,CHO
14,Kobi Simmons,SG,6-5,166,"July 4, 1997",us US,2,Arizona,CHO
8,Dennis Smith Jr.,PG,6-2,205,"November 25, 1997",us US,5,NC State,CHO
22,Xavier Sneed,SF,6-5,215,"December 21, 1997",us US,1,Kansas State,CHO
21,JT Thor,PF,6-10,205,"August 26, 2002",us US,1,Auburn,CHO
25,P.J. Washington,PF,6-7,230,"August 23, 1998",us US,3,Kentucky,CHO
5,Mark Williams,C,7-0,241,"December 16, 2001",us US,R,Duke,CHO
